iter	Passed	Remaining
336	5425	10673
337	5429	10634
338	5435	10598
339	5440	10560
340	5444	10522
341	5450	10485
342	5454	10447
343	5458	10409
344	5462	10371
345	5468	10336
346	5472	10298
347	5477	10261
348	5483	10228
349	5488	10192
350	5493	10156
351	5498	10122
352	5503	10086
353	5507	10050
354	5513	10017
355	5518	9982
356	5524	9951
357	5530	9918
358	5535	9883
359	5539	9848
360	5544	9815
361	5549	9780
362	5553	9746
363	5559	9713
364	5563	9679
365	5568	9645
366	5573	9613
367	5578	9580
368	5582	9546
369	5587	9513
370	5592	9482
371	5597	9450
372	5602	9417
373	5607	9386
374	5612	9353
375	5616	9320
376	5622	9290
377	5627	9259
378	5631	9227
379	5637	9197
380	5641	9166
381	5646	9134
382	5651	9103
383	5655	9072
384	5660	9041
385	5664	9010
386	5670	8981
387	5674	8950
388	5680	8922
389	5685	8893
390	5690	8863
391	5695	8833
392	5700	8804
393	5704	8774
394	5709	8744
395	5715	8717
396	5719	8687
397	5723	8657
398	5730	8631
399	5734	8601
400	5738	8572
401	5745	8547
402	5750	8518
403	5754	8489
404	5760	8463
405	5765	8434
406	5769	8406
407	5775	8379
408	5779	8351
409	5784	8324
410	5790	8298
411	5795	8270
412	5799	8242
413	5804	8216
414	5809	8189
415	5814	8162
416	5818	8135
417	5824	8109
418	5829	8083
419	5834	8057
420	5840	8032
421	5844	8005
422	5849	7978
423	5854	7953
424	5859	7927
425	5864	7901
426	5870	7877
427	5874	7851
428	5879	7825
429	5884	7801
430	5889	7775
431	5894	7750
432	5900	7725
433	5904	7700
434	5909	7675
435	5914	7651
436	5919	7626
437	5923	7600
438	5928	7576
439	5933	7551
440	5937	7526
441	5942	7501
442	5947	7478
443	5952	7453
444	5956	7428
445	5962	7406
446	5967	7382
447	5971	7357
448	5977	7335
449	5982	7312
450	5988	7289
451	5994	7267
452	5998	7243
453	6003	7219
454	6008	7197
455	6013	7174
456	6018	7150
457	6024	7129
458	6029	7106
459	6033	7082
460	6039	7061
461	6043	7038
462	6048	7014
463	6053	6992
464	6057	6969
465	6062	6946
466	6066	6923
467	6072	6902
468	6076	6879
469	6081	6857
470	6087	6837
471	6092	6814
472	6097	6793
473	6103	6772
474	6107	6750
475	6112	6729
476	6119	6709
477	6123	6687
478	6128	6665
479	6133	6644
480	6138	6622
481	6142	6601
482	6148	6580
483	6152	6559
484	6158	6539
485	6164	6519
486	6169	6498
487	6173	6477
488	6179	6457
489	6185	6437
490	6189	6416
491	6196	6397
492	6200	6376
493	6211	6361
494	6218	6344
495	6227	6327
496	6233	6308
497	6243	6293
498	6250	6275
499	6256	6256
500	6261	6236
501	6267	6217
502	6272	6198
503	6277	6177
504	6281	6157
505	6287	6138
506	6291	6118
507	6296	6097
508	6301	6078
509	6306	6059
510	6312	6040
511	6318	6022
512	6322	6002
513	6327	5982
514	6332	5964
515	6337	5944
516	6341	5924
517	6347	5905
518	6351	5886
519	6356	5867
520	6360	5847
521	6365	5829
522	6370	5810
523	6375	5791
524	6380	5772
525	6384	5753
526	6388	5734
527	6394	5716
528	6398	5697
529	6403	5678
530	6408	5660
531	6413	5641
532	6417	5622
533	6422	5604
534	6427	5586
535	6431	5567
536	6435	5548
537	6441	5531
538	6446	5513
539	6450	5494
540	6456	5477
541	6461	5459
542	6466	5442
543	6473	5426
544	6477	5408
545	6482	5390
546	6489	5374
547	6494	5356
548	6498	5338
549	6503	5321
550	6508	5303
551	6512	5285
552	6519	5269
553	6523	5251
554	6528	5234
555	6533	5217
556	6538	5200
557	6542	5182
558	6547	5165
559	6552	5148
560	6557	5131
561	6563	5115
562	6567	5097
563	6572	5080
564	6576	5063
565	6581	5046
566	6586	5029
567	6590	5012
568	6596	4996
569	6600	4979
570	6605	4962
571	6610	4946
572	6615	4930
573	6619	4913
574	6625	4897
575	6630	4880
576	6636	4865
577	6641	4849
578	6646	4833
579	6651	4816
580	6656	4800
581	6661	4784
582	6665	4767
583	6670	4751
584	6675	4735
585	6679	4719
586	6684	4702
587	6690	4687
588	6695	4671
589	6699	4655
590	6704	4640
591	6709	4623
592	6713	4607
593	6720	4593
594	6725	4577
595	6729	4561
596	6736	4547
597	6741	4531
598	6745	4515
599	6752	4501
600	6757	4486
601	6762	4470
602	6767	4455
603	6771	4439
604	6776	4424
605	6781	4409
606	6786	4394
607	6791	4378
608	6797	4364
609	6801	4348
610	6806	4333
611	6812	4318
612	6816	4303
613	6821	4288
614	6826	4273
615	6831	4258
616	6836	4243
617	6841	4228
618	6846	4213
619	6851	4199
620	6856	4184
621	6861	4169
622	6865	4154
623	6870	4139
624	6875	4125
625	6880	4110
626	6884	4095
627	6890	4081
628	6896	4067
629	6900	4052
630	6905	4038
631	6910	4023
632	6914	4009
633	6920	3995
634	6925	3980
635	6929	3965
636	6934	3951
637	6939	3937
638	6944	3922
639	6949	3908
640	6954	3894
641	6958	3880
642	6965	3867
643	6970	3853
644	6974	3838
645	6978	3824
646	6983	3810
647	6988	3796
648	6992	3781
649	6998	3768
650	7003	3754
651	7007	3740
652	7013	3727
653	7018	3712
654	7022	3699
655	7028	3685
656	7033	3671
657	7037	3657
658	7043	3644
659	7048	3631
660	7053	3617
661	7058	3604
662	7063	3590
663	7067	3576
664	7072	3562
665	7077	3549
666	7081	3535
667	7085	3521
668	7091	3508
669	7095	3494
670	7100	3481
671	7106	3468
672	7111	3455
673	7115	3441
674	7121	3428
675	7125	3415
676	7131	3402
677	7137	3389
678	7142	3376
679	7147	3363
680	7153	3350
681	7158	3337
682	7162	3324
683	7169	3312
684	7173	3298
685	7178	3285
686	7183	3272
687	7188	3259
688	7192	3246
689	7198	3234
690	7202	3221
691	7207	3207
692	7212	3195
693	7217	3182
694	7221	3169
695	7226	3156
696	7232	3144
697	7236	3131
698	7241	3118
699	7247	3106
700	7252	3093
701	7258	3081
702	7263	3068
703	7267	3055
704	7272	3043
705	7278	3030
706	7283	3018
707	7288	3005
708	7293	2993
709	7298	2980
710	7302	2968
711	7308	2956
712	7312	2943
713	7317	2930
714	7322	2918
715	7327	2906
716	7331	2893
717	7337	2881
718	7342	2869
719	7347	2857
720	7352	2845
721	7357	2832
722	7361	2820
723	7366	2808
724	7371	2796
725	7375	2783
726	7379	2771
727	7385	2759
728	7389	2747
729	7394	2734
730	7400	2723
731	7404	2710
732	7409	2699
733	7415	2687
734	7419	2675
735	7424	2662
736	7429	2651
737	7434	2639
738	7441	2628
739	7447	2616
740	7452	2604
741	7456	2592
742	7462	2581
743	7467	2569
744	7471	2557
745	7477	2545
746	7482	2534
747	7486	2522
748	7491	2510
749	7496	2498
750	7500	2486
751	7505	2475
752	7510	2463
753	7514	2451
754	7519	2439
755	7525	2428
756	7529	2417
757	7534	2405
758	7540	2394
759	7544	2382
760	7549	2370
761	7555	2359
762	7560	2348
763	7564	2336
764	7571	2325
765	7576	2314
766	7580	2302
767	7586	2291
768	7591	2280
769	7596	2269
770	7602	2258
771	7607	2246
772	7611	2235
773	7617	2224
774	7621	2212
775	7626	2201
776	7634	2190
777	7638	2179
778	7643	2168
779	7649	2157
780	7654	2146
781	7659	2135
782	7665	2124
783	7669	2113
784	7674	2101
785	7679	2090
786	7684	2079
787	7688	2068
788	7694	2057
789	7699	2046
790	7703	2035
791	7708	2024
792	7713	2013
793	7717	2002
794	7723	1991
795	7728	1980
796	7733	1969
797	7737	1958
798	7743	1947
799	7747	1936
800	7753	1926
801	7758	1915
802	7763	1904
803	7767	1893
804	7772	1882
805	7778	1872
806	7783	1861
807	7788	1850
808	7792	1839
809	7797	1829
810	7803	1818
811	7807	1807
812	7812	1796
813	7817	1786
814	7821	1775
815	7826	1764
816	7830	1754
817	7835	1743
818	7840	1732
819	7845	1722
820	7851	1711
821	7856	1701
822	7861	1690
823	7866	1680
824	7870	1669
825	7874	1658
826	7880	1648
827	7885	1637
828	7889	1627
829	7896	1617
830	7901	1606
831	7906	1596
832	7911	1586
833	7917	1575
834	7921	1565
835	7926	1554
836	7930	1544
837	7935	1534
838	7941	1524
839	7947	1513
840	7953	1503
841	7958	1493
842	7962	1482
843	7967	1472
844	7972	1462
845	7977	1452
846	7981	1441
847	7987	1431
848	7991	1421
849	7996	1411
850	8001	1400
851	8006	1390
852	8010	1380
853	8015	1370
854	8020	1360
855	8026	1350
856	8030	1340
857	8036	1330
858	8040	1319
859	8044	1309
860	8049	1299
861	8054	1289
862	8059	1279
863	8064	1269
864	8069	1259
865	8076	1249
866	8081	1239
867	8086	1229
868	8090	1219
869	8096	1209
870	8101	1199
871	8105	1189
872	8111	1179
873	8116	1170
874	8120	1160
875	8125	1150
876	8130	1140
877	8134	1130
878	8140	1120
879	8145	1110
880	8150	1100
881	8156	1091
882	8161	1081
883	8166	1071
884	8171	1061
885	8176	1052
886	8180	1042
887	8185	1032
888	8190	1022
889	8194	1012
890	8199	1003
891	8204	993
892	8209	983
893	8213	973
894	8218	964
895	8223	954
896	8229	945
897	8235	935
898	8239	925
899	8245	916
900	8251	906
901	8255	896
902	8260	887
903	8265	877
904	8270	868
905	8274	858
906	8280	849
907	8285	839
908	8289	829
909	8294	820
910	8299	810
911	8303	801
912	8308	791
913	8313	782
914	8318	772
915	8322	763
916	8327	753
917	8333	744
918	8337	734
919	8343	725
920	8348	716
921	8353	706
922	8359	697
923	8364	687
924	8368	678
925	8373	669
926	8377	659
927	8384	650
928	8388	641
929	8393	631
930	8398	622
931	8404	613
932	8409	603
933	8413	594
934	8419	585
935	8424	576
936	8428	566
937	8433	557
938	8438	548
939	8444	539
940	8449	529
941	8454	520
942	8458	511
943	8464	502
944	8468	492
945	8473	483
946	8478	474
947	8483	465
948	8487	456
949	8492	446
950	8497	437
951	8501	428
952	8506	419
953	8511	410
954	8515	401
955	8520	392
956	8525	383
957	8530	373
958	8534	364
959	8542	355
960	8547	346
961	8551	337
962	8557	328
963	8562	319
964	8567	310
965	8573	301
966	8577	292
967	8582	283
968	8588	274
969	8592	265
970	8597	256
971	8602	247
972	8607	238
973	8611	229
974	8616	220
975	8621	212
976	8625	203
977	8630	194
978	8635	185
979	8639	176
980	8645	167
981	8651	158
982	8655	149
983	8659	140
984	8665	131
985	8670	123
986	8674	114
987	8680	105
988	8684	96
989	8689	87
990	8694	78
991	8699	70
992	8704	61
993	8709	52
994	8714	43
995	8719	35
996	8724	26
997	8729	17
998	8733	8
999	8739	0
