iter	RMSE
0	16.71721764
1	15.83661784
2	15.01796003
3	14.24155116
4	13.51818546
5	12.84010112
6	12.20515471
7	11.6080429
8	11.04833698
9	10.52336111
10	10.03710291
11	9.584342756
12	9.161951773
13	8.769188389
14	8.400477636
15	8.060380341
16	7.74136717
17	7.449297576
18	7.174878746
19	6.926097501
20	6.6947285
21	6.483703892
22	6.289524848
23	6.110347373
24	5.946171829
25	5.795298608
26	5.655034376
27	5.528562814
28	5.415391292
29	5.31091934
30	5.215637318
31	5.130813663
32	5.056908813
33	4.98362579
34	4.914618088
35	4.854857542
36	4.792529555
37	4.744652557
38	4.69900471
39	4.65829651
40	4.61999336
41	4.584596003
42	4.552106955
43	4.521126106
44	4.486629764
45	4.460057268
46	4.438361608
47	4.415168631
48	4.389439267
49	4.362500877
50	4.342510237
51	4.314309732
52	4.29401803
53	4.269567132
54	4.248368008
55	4.23078653
56	4.211596834
57	4.194836475
58	4.179943666
59	4.164539737
60	4.147231789
61	4.13044429
62	4.115316042
63	4.102183937
64	4.089756524
65	4.078558675
66	4.069671816
67	4.057177194
68	4.047539642
69	4.037565858
70	4.029120947
71	4.021893835
72	4.013308267
73	4.004031705
74	3.994918977
75	3.987990745
76	3.980571392
77	3.974831979
78	3.967590665
79	3.96016502
80	3.955284487
81	3.946793693
82	3.941088251
83	3.933703117
84	3.927486781
85	3.920284419
86	3.912012958
87	3.906005823
88	3.900842264
89	3.895938494
90	3.887419409
91	3.880743797
92	3.874867732
93	3.870098879
94	3.86550672
95	3.860720801
96	3.856750239
97	3.85048104
98	3.845172021
99	3.841626555
100	3.836436255
101	3.828701444
102	3.821447693
103	3.81572507
104	3.807337559
105	3.798098551
106	3.790280879
107	3.782179503
108	3.777711266
109	3.770067847
110	3.761809645
111	3.755288155
112	3.751089208
113	3.746201415
114	3.738389184
115	3.731627578
116	3.725030126
117	3.718496185
118	3.713527846
119	3.705489408
120	3.698682874
121	3.690442621
122	3.684882536
123	3.675461612
124	3.66834667
125	3.661129094
126	3.655846046
127	3.648771915
128	3.640567653
129	3.632680669
130	3.627494901
131	3.620917087
132	3.614039165
133	3.606743388
134	3.603802869
135	3.594646222
136	3.587806971
137	3.583973399
138	3.580088524
139	3.573527035
140	3.565130763
141	3.557987707
142	3.551723395
143	3.546071566
144	3.539099656
145	3.533542957
146	3.527352102
147	3.520293327
148	3.512490461
149	3.50768902
150	3.500208629
151	3.49294498
152	3.486144556
153	3.479154258
154	3.472436119
155	3.468249168
156	3.465016445
157	3.459033874
158	3.451738195
159	3.444769547
160	3.437609717
161	3.430847874
162	3.424133699
163	3.417563151
164	3.41452075
165	3.408667767
166	3.403623945
167	3.394017179
168	3.389207138
169	3.385260674
170	3.378775437
171	3.372936691
172	3.367823169
173	3.361694976
174	3.352704189
175	3.345695597
176	3.339242332
177	3.333760727
178	3.32528092
179	3.319218605
180	3.310553683
181	3.30654957
182	3.300550501
183	3.293517494
184	3.286020794
185	3.280994907
186	3.275307716
187	3.268179669
188	3.260780302
189	3.255503944
190	3.250717812
191	3.245346672
192	3.24072821
193	3.233914998
194	3.228791857
195	3.221776526
196	3.215111104
197	3.210336343
198	3.203444865
199	3.198328808
200	3.190757594
201	3.18229496
202	3.174880424
203	3.168600366
204	3.163581389
205	3.156800772
206	3.149091276
207	3.145267329
208	3.138949506
209	3.13097326
210	3.125721527
211	3.121240292
212	3.115967377
213	3.109572606
214	3.10510201
215	3.099787258
216	3.092235166
217	3.088387672
218	3.081639954
219	3.075350205
220	3.07078926
221	3.065053437
222	3.06010809
223	3.056087268
224	3.050094251
225	3.043506876
226	3.035417408
227	3.031505872
228	3.02572657
229	3.019802219
230	3.014073495
231	3.008102656
232	3.001196958
233	2.994190472
234	2.98878692
235	2.984791934
236	2.97861521
237	2.973407331
238	2.967487517
239	2.962158362
240	2.954491089
241	2.949814984
242	2.945656356
243	2.941294015
244	2.935859882
245	2.929908101
246	2.925381466
247	2.917667868
248	2.911643412
249	2.906061082
250	2.901332843
251	2.895098872
252	2.890049052
253	2.885406873
254	2.879825762
255	2.875079508
256	2.871385206
257	2.86651573
258	2.86151966
259	2.857520492
260	2.850981775
261	2.845235009
262	2.840846789
263	2.836912985
264	2.83224831
265	2.828375301
266	2.822265036
267	2.815359028
268	2.809301829
269	2.803751523
270	2.800345233
271	2.795511186
272	2.789230092
273	2.783662397
274	2.777921791
275	2.7732046
276	2.767366736
277	2.761898202
278	2.755886977
279	2.750416677
280	2.745916412
281	2.740746853
282	2.736480448
283	2.731433451
284	2.726360113
285	2.721643485
286	2.715617608
287	2.710578953
288	2.706127907
289	2.702893802
290	2.695968016
291	2.689787807
292	2.686236596
293	2.680747182
294	2.676541599
295	2.670202489
296	2.665179706
297	2.660551137
298	2.656071265
299	2.651437373
300	2.647834479
301	2.643826203
302	2.640207689
303	2.632865204
304	2.627727992
305	2.622884495
306	2.618181657
307	2.61429933
308	2.611077214
309	2.606431062
310	2.601651092
311	2.597974141
312	2.593540073
313	2.588836975
314	2.585362839
315	2.581365218
316	2.575578719
317	2.570218543
318	2.565367966
319	2.560896447
320	2.556228565
321	2.553172616
322	2.548968704
323	2.542839146
324	2.538130758
325	2.535219208
326	2.531184299
327	2.525235698
328	2.520607327
329	2.516003196
330	2.511907625
331	2.507097159
332	2.502071469
333	2.495287393
334	2.490784749
335	2.486487907
336	2.484115154
337	2.480422215
338	2.476641553
339	2.472038359
340	2.467855952
341	2.462951732
342	2.458363894
343	2.454567014
344	2.449592596
345	2.445096505
346	2.441028353
347	2.435293372
348	2.43109509
349	2.427446069
350	2.423334522
351	2.418484194
352	2.414291248
353	2.411185771
354	2.40650238
355	2.402519816
356	2.396382666
357	2.391167331
358	2.387453228
359	2.38262493
360	2.377964246
361	2.375128232
362	2.371055017
363	2.365860297
364	2.363194847
365	2.358764249
366	2.35377788
367	2.35176208
368	2.348725345
369	2.344319209
370	2.339583112
371	2.335993848
372	2.332908415
373	2.328508543
374	2.32377101
375	2.319576065
376	2.315485511
377	2.311368554
378	2.307970039
379	2.304691288
380	2.300273323
381	2.295864955
382	2.292484408
383	2.28917689
384	2.285596399
385	2.281106871
386	2.277081946
387	2.272728191
388	2.269635033
389	2.266434275
390	2.262739666
391	2.257555626
392	2.253600647
393	2.25114543
394	2.247142464
395	2.24291741
396	2.237919755
397	2.233796996
398	2.229615287
399	2.225607915
400	2.222214611
401	2.218855519
402	2.213369277
403	2.210294163
404	2.204440217
405	2.199884157
406	2.196006121
407	2.192576577
408	2.188359386
409	2.184354284
410	2.181029465
411	2.177108417
412	2.173426281
413	2.17044861
414	2.166819626
415	2.163636294
416	2.159245949
417	2.156520011
418	2.151407377
419	2.147020912
420	2.142225396
421	2.137105209
422	2.133469867
423	2.130058274
424	2.12506887
425	2.120903328
426	2.117952188
427	2.114517273
428	2.111754067
429	2.107660054
430	2.104446245
431	2.10144918
432	2.098791342
433	2.095503019
434	2.092390337
435	2.089630017
436	2.085362023
437	2.081896573
438	2.077186712
439	2.072219033
440	2.069104977
441	2.06583467
442	2.060654624
443	2.056767366
444	2.053702422
445	2.049617018
446	2.045593494
447	2.041886544
448	2.037280533
449	2.033833367
450	2.030782953
451	2.026152267
452	2.022792443
453	2.018804491
454	2.01662941
455	2.013243963
456	2.010056985
457	2.006267851
458	2.00400095
459	1.999907608
460	1.995917199
461	1.991869755
462	1.989742037
463	1.987840782
464	1.984306847
465	1.980911004
466	1.976161019
467	1.973079216
468	1.970058895
469	1.966981719
470	1.963050068
471	1.960439505
472	1.956571805
473	1.952528905
474	1.949373084
475	1.946356863
476	1.942957305
477	1.939401256
478	1.935385799
479	1.931518781
480	1.927570451
481	1.9244042
482	1.921057172
483	1.918170192
484	1.914519062
485	1.911630246
486	1.909652143
487	1.90748325
488	1.902655513
489	1.899900358
490	1.897408899
491	1.895142886
492	1.891921511
493	1.887174318
494	1.882627451
495	1.87999279
496	1.877204014
497	1.874434032
498	1.871698574
499	1.868104633
500	1.863751964
501	1.860770656
502	1.857416997
503	1.853186095
504	1.850619374
505	1.846740891
506	1.843429174
507	1.839305058
508	1.836446339
509	1.833339877
510	1.830780179
511	1.827942923
512	1.824525201
513	1.820353393
514	1.817092524
515	1.813429507
516	1.810107851
517	1.80606326
518	1.803207407
519	1.800122562
520	1.797728846
521	1.794942555
522	1.791908402
523	1.789196328
524	1.785994968
525	1.782262647
526	1.780111817
527	1.777170163
528	1.773931458
529	1.771429189
530	1.767873693
531	1.764402053
532	1.762374337
533	1.758438612
534	1.755970575
535	1.753024933
536	1.749836101
537	1.747791576
538	1.743537309
539	1.740820476
540	1.738353812
541	1.735279354
542	1.733044229
543	1.730388364
544	1.72650862
545	1.72184156
546	1.718570149
547	1.716306565
548	1.713432345
549	1.710934541
550	1.708543225
551	1.705276875
552	1.70300799
553	1.700995891
554	1.699140885
555	1.697028487
556	1.693498668
557	1.691196464
558	1.687962637
559	1.684972902
560	1.682027578
561	1.680045135
562	1.677202878
563	1.674224359
564	1.670880198
565	1.668785703
566	1.665378162
567	1.661516404
568	1.658253004
569	1.655000595
570	1.651702223
571	1.649145184
572	1.646287604
573	1.643459372
574	1.640778179
575	1.638200174
576	1.635896086
577	1.632828387
578	1.631176326
579	1.628878342
580	1.626092016
581	1.623963616
582	1.621938856
583	1.61957918
584	1.61767526
585	1.615028045
586	1.611747854
587	1.607781882
588	1.603996517
589	1.601414988
590	1.598477316
591	1.596049713
592	1.592529442
593	1.589673582
594	1.586717909
595	1.584614175
596	1.582076349
597	1.579355789
598	1.576938145
599	1.575054443
600	1.571972677
601	1.5697546
602	1.567976668
603	1.565800506
604	1.563546636
605	1.561502858
606	1.559132826
607	1.556665758
608	1.554246762
609	1.550633717
610	1.549325281
611	1.546553085
612	1.54331503
613	1.541175908
614	1.537583659
615	1.533773177
616	1.530584958
617	1.527615712
618	1.524501873
619	1.521601157
620	1.519356604
621	1.516357358
622	1.514342952
623	1.511748736
624	1.509540404
625	1.507634076
626	1.505508762
627	1.501947702
628	1.499810319
629	1.496974078
630	1.495100678
631	1.49365827
632	1.490910371
633	1.488614441
634	1.486049991
635	1.482497866
636	1.48075737
637	1.478049149
638	1.475917812
639	1.473517343
640	1.470996005
641	1.468390081
642	1.466159033
643	1.4623243
644	1.458946584
645	1.456203391
646	1.453862484
647	1.451824568
648	1.449018066
649	1.446958673
650	1.445089113
651	1.442240304
652	1.439436323
653	1.43694183
654	1.434814294
655	1.432964237
656	1.431119022
657	1.428268801
658	1.426257617
659	1.424040043
660	1.42195004
661	1.419674925
662	1.417788375
663	1.415762109
664	1.413985132
665	1.411345737
666	1.40975826
667	1.40718119
668	1.405155061
669	1.40188247
670	1.39982589
671	1.39660475
672	1.393477992
673	1.390737361
674	1.388760492
675	1.386010995
676	1.383575913
677	1.381916536
678	1.379929397
679	1.377317419
680	1.374850209
681	1.372319485
682	1.370098563
683	1.368286744
